x, y, vx, vy
-55.2336, 72.9287, -6.06073, -6.06073
-55.2639, 72.9691, -6.06076, -6.06076
-55.2942, 73.0096, -6.0608, -6.0608
-55.3245, 73.05, -6.06083, -6.06083
-55.3548, 73.0905, -6.06087, -6.06087
-55.3851, 73.1309, -6.0609, -6.0609
-55.4154, 73.1714, -6.06094, -6.06094
-55.4457, 73.2118, -6.06098, -6.06098
-55.476, 73.2523, -6.06101, -6.06101
-55.5063, 73.2927, -6.06105, -6.06105
-55.5366, 73.3332, -6.06108, -6.06108
-55.5669, 73.3736, -6.06112, -6.06112
-55.5972, 73.4141, -6.06116, -6.06116
-55.6275, 73.4545, -6.06119, -6.06119
-55.6578, 73.495, -6.06123, -6.06123
-55.6881, 73.5354, -6.06126, -6.06126
-55.7184, 73.5759, -6.0613, -6.0613
-55.7487, 73.6163, -6.06133, -6.06133
-55.779, 73.6568, -6.06137, -6.06137
-55.8094, 73.6973, -6.0614, -6.0614
-55.8397, 73.7377, -6.06144, -6.06144
-55.87, 73.7782, -6.06147, -6.06147
-55.9003, 73.8186, -6.06151, -6.06151
-55.9306, 73.8591, -6.06154, -6.06154
-55.9609, 73.8995, -6.06158, -6.06158
-55.9912, 73.94, -6.06161, -6.06161
-56.0215, 73.9805, -6.06165, -6.06165
-56.0518, 74.0209, -6.06169, -6.06169
-56.0821, 74.0614, -6.06172, -6.06172
-56.1124, 74.1018, -6.06176, -6.06176
-56.1427, 74.1423, -6.06179, -6.06179
-56.173, 74.1828, -6.06182, -6.06182
-56.2034, 74.2232, -6.06186, -6.06186
-56.2337, 74.2637, -6.06189, -6.06189
-56.264, 74.3041, -6.06193, -6.06193
-56.2943, 74.3446, -6.06196, -6.06196
-56.3246, 74.385, -6.062, -6.062
-56.3549, 74.4255, -6.06203, -6.06203
-56.3852, 74.466, -6.06207, -6.06207
-56.4155, 74.5064, -6.0621, -6.0621
-56.4458, 74.5469, -6.06214, -6.06214
-56.4762, 74.5873, -6.06217, -6.06217
-56.5065, 74.6278, -6.06221, -6.06221
-56.5368, 74.6683, -6.06224, -6.06224
-56.5671, 74.7087, -6.06227, -6.06227
-56.5974, 74.7492, -6.06231, -6.06231
-56.6277, 74.7896, -6.06234, -6.06234
-56.658, 74.8301, -6.06238, -6.06238
-56.6883, 74.8706, -6.06241, -6.06241
-56.7186, 74.911, -6.06245, -6.06245
-56.749, 74.9515, -6.06248, -6.06248
-56.7793, 74.9919, -6.06252, -6.06252
-56.8096, 75.0324, -6.06255, -6.06255
-56.8399, 75.0729, -6.06258, -6.06258
-56.8702, 75.1133, -6.06262, -6.06262
-56.9005, 75.1538, -6.06265, -6.06265
-56.9308, 75.1943, -6.06269, -6.06269
-56.9611, 75.2347, -6.06272, -6.06272
-56.9915, 75.2752, -6.06275, -6.06275
-57.0218, 75.3157, -6.06279, -6.06279
-57.0521, 75.3561, -6.06282, -6.06282
-57.0824, 75.3966, -6.06285, -6.06285
-57.1127, 75.4371, -6.06289, -6.06289
-57.143, 75.4775, -6.06292, -6.06292
-57.1733, 75.518, -6.06296, -6.06296
-57.2037, 75.5585, -6.06299, -6.06299
-57.234, 75.5989, -6.06302, -6.06302
-57.2643, 75.6394, -6.06306, -6.06306
-57.2946, 75.6799, -6.06309, -6.06309
-57.3249, 75.7203, -6.06312, -6.06312
-57.3552, 75.7608, -6.06316, -6.06316
-57.3856, 75.8013, -6.06319, -6.06319
-57.4159, 75.8417, -6.06322, -6.06322
-57.4462, 75.8822, -6.06326, -6.06326
