x, y, vx, vy
111.947, 86.8646, 8.06095, 8.06095
111.987, 86.8946, 8.06097, 8.06097
112.028, 86.9245, 8.06099, 8.06099
112.068, 86.9544, 8.06101, 8.06101
112.108, 86.9844, 8.06103, 8.06103
112.149, 87.0143, 8.06105, 8.06105
112.189, 87.0443, 8.06107, 8.06107
112.229, 87.0742, 8.06109, 8.06109
112.27, 87.1042, 8.06111, 8.06111
112.31, 87.1341, 8.06113, 8.06113
112.35, 87.1641, 8.06115, 8.06115
112.391, 87.194, 8.06117, 8.06117
112.431, 87.224, 8.06119, 8.06119
112.471, 87.2539, 8.06121, 8.06121
112.511, 87.2838, 8.06123, 8.06123
112.552, 87.3138, 8.06125, 8.06125
112.592, 87.3437, 8.06126, 8.06126
112.632, 87.3737, 8.06128, 8.06128
112.673, 87.4036, 8.0613, 8.0613
112.713, 87.4336, 8.06132, 8.06132
112.753, 87.4635, 8.06134, 8.06134
112.794, 87.4935, 8.06136, 8.06136
112.834, 87.5234, 8.06138, 8.06138
112.874, 87.5534, 8.0614, 8.0614
112.914, 87.5833, 8.06142, 8.06142
112.955, 87.6132, 8.06144, 8.06144
112.995, 87.6432, 8.06146, 8.06146
113.035, 87.6731, 8.06147, 8.06147
113.076, 87.7031, 8.06149, 8.06149
113.116, 87.733, 8.06151, 8.06151
113.156, 87.763, 8.06153, 8.06153
113.197, 87.7929, 8.06155, 8.06155
113.237, 87.8229, 8.06157, 8.06157
113.277, 87.8528, 8.06159, 8.06159
113.318, 87.8828, 8.06161, 8.06161
113.358, 87.9127, 8.06163, 8.06163
113.398, 87.9426, 8.06165, 8.06165
113.438, 87.9726, 8.06167, 8.06167
113.479, 88.0025, 8.06168, 8.06168
113.519, 88.0325, 8.0617, 8.0617
113.559, 88.0624, 8.06172, 8.06172
113.6, 88.0924, 8.06174, 8.06174
113.64, 88.1223, 8.06176, 8.06176
113.68, 88.1523, 8.06178, 8.06178
113.721, 88.1822, 8.0618, 8.0618
113.761, 88.2122, 8.06182, 8.06182
113.801, 88.2421, 8.06184, 8.06184
113.842, 88.272, 8.06186, 8.06186
113.882, 88.302, 8.06188, 8.06188
113.922, 88.3319, 8.06189, 8.06189
113.962, 88.3619, 8.06191, 8.06191
114.003, 88.3918, 8.06193, 8.06193
114.043, 88.4218, 8.06195, 8.06195
114.083, 88.4517, 8.06197, 8.06197
114.124, 88.4817, 8.06199, 8.06199
114.164, 88.5116, 8.06201, 8.06201
114.204, 88.5415, 8.06203, 8.06203
114.245, 88.5715, 8.06205, 8.06205
114.285, 88.6014, 8.06207, 8.06207
114.325, 88.6314, 8.06209, 8.06209
114.366, 88.6613, 8.0621, 8.0621
114.406, 88.6913, 8.06212, 8.06212
114.446, 88.7212, 8.06214, 8.06214
114.486, 88.7512, 8.06216, 8.06216
114.527, 88.7811, 8.06218, 8.06218
114.567, 88.8111, 8.0622, 8.0622
114.607, 88.841, 8.06222, 8.06222
114.648, 88.8709, 8.06224, 8.06224
114.688, 88.9009, 8.06226, 8.06226
114.728, 88.9308, 8.06228, 8.06228
114.769, 88.9608, 8.06229, 8.06229
114.809, 88.9907, 8.06231, 8.06231
114.849, 89.0207, 8.06233, 8.06233
114.89, 89.0506, 8.06235, 8.06235
114.93, 89.0806, 8.06237, 8.06237
114.97, 89.1105, 8.06239, 8.06239
115.011, 89.1405, 8.06241, 8.06241
115.051, 89.1704, 8.06243, 8.06243
115.091, 89.2003, 8.06245, 8.06245
115.132, 89.2303, 8.06247, 8.06247
115.172, 89.2602, 8.06249, 8.06249
115.212, 89.2902, 8.0625, 8.0625
115.252, 89.3201, 8.06252, 8.06252
115.293, 89.3501, 8.06254, 8.06254
115.333, 89.38, 8.06256, 8.06256
115.373, 89.41, 8.06258, 8.06258
115.414, 89.4399, 8.0626, 8.0626
115.454, 89.4699, 8.06261, 8.06261
115.494, 89.4998, 8.06263, 8.06263
115.535, 89.5298, 8.06265, 8.06265
